w_comb,w_bayes,w_rules,macro_f1
0.1,0.1,0.8,0.4595494981209267
0.1,0.3,0.6,0.4363890210645342
0.1,0.4,0.5,0.4177837763365298
0.1,0.2,0.7,0.41387441948938447
0.1,0.5,0.4,0.41139577104999386
0.2,0.1,0.7,0.3973522472243109
0.2,0.3,0.5,0.3905096001339925
0.1,0.6,0.3,0.38898034338314236
0.2,0.4,0.4,0.3846497252376181
0.2,0.2,0.6,0.38180311967002006
0.1,0.7,0.2,0.37992158444957536
0.3,0.2,0.5,0.374343929799183
0.3,0.3,0.4,0.36975915991834896
0.3,0.1,0.6,0.3686339186516579
0.2,0.5,0.3,0.3671927664679851
0.3,0.6,0.1,0.35899466864255286
0.4,0.1,0.5,0.35646747824779496
0.3,0.4,0.3,0.3556243515468584
0.1,0.8,0.1,0.3547453954671339
0.2,0.6,0.2,0.350005696861717
0.4,0.2,0.4,0.34869114098629284
0.2,0.7,0.1,0.3431309434791231
0.4,0.4,0.2,0.3409403812392845
0.3,0.5,0.2,0.34028451175900937
0.5,0.1,0.4,0.3401074864251238
0.4,0.3,0.3,0.3316195802889097
0.5,0.4,0.1,0.32725007522467303
0.6,0.2,0.2,0.3261703989598553
0.6,0.1,0.3,0.32251122247285224
0.4,0.5,0.1,0.32156456176696585
0.5,0.2,0.3,0.31760438091015775
0.5,0.3,0.2,0.3164456233421751
0.7,0.2,0.1,0.3044264364457
0.7,0.1,0.2,0.3008581252660728
0.6,0.3,0.1,0.29950055431929884
0.8,0.1,0.1,0.2527286267602558
